Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23,units
f02a99bf-15c3-40ed-b69a-7d448214e41a,,"K1, Left Eye, Contact Lens","K1, Left Eye, Contact Lens","K1, Left Eye, Contact Lens",Question,Numeric,,,,,D/mm
c52d67b0-d386-44ce-80db-7feb22b75288,,"K2, Right Eye, Contact Lens","K2, Right Eye, Contact Lens","K2, Right Eye, Contact Lens",Question,Numeric,,,,,
7129bdbd-438f-4497-ba47-e341cdcf4806,,"K2, Left Eye, Contact Lens","K2, Left Eye, Contact Lens","K2, Left Eye, Contact Lens",Question,Numeric,,,,,
cfc6b704-7af7-4c0b-be6c-b52dd59205cf,,"Axis, Right Eye, Contact Lens","Axis, Right Eye, Contact Lens","Axis, Right Eye, Contact Lens",Question,Numeric,,,,,
9aebc24e-a28f-4a4d-8c8d-cad217c8d8d5,,"Axis, Left Eye, Contact Lens","Axis, Left Eye, Contact Lens","Axis, Left Eye, Contact Lens",Question,Numeric,,,,,
ccda050b-d13d-46fb-b8c3-2fccc8258519,,Steep axis,Steep axis,Steep axis,Misc,N/A,,,,
288046ba-0f35-487a-bd48-ea52463e5979,,Corneal shape,Corneal shape,Corneal shape,Question,Coded,,Normal;Steep;Flat;Irregular,,
48e19c4f-e95f-4972-ab51-d16c1c98f420,,TBUT Right Eye,TBUT Right Eye,TBUT Right Eye,Question,Numeric,,,,,seconds
a84bffbe-01c3-49c4-b582-5f343aea34cb,,TBUT Left Eye,TBUT Left Eye,TBUT Left Eye,Question,Numeric,,,,,seconds
ed12225e-134c-4698-aced-6c3c773a197b,,Schirmer Right Eye,Schirmer Right Eye,Schirmer Right Eye,Question,Numeric,,,,,mm
9869dd04-0d4a-441b-8c8f-c60580babb3c,,Schirmer Left Eye,Schirmer Left Eye,Schirmer Left Eye,Question,Numeric,,,,,mm
79cbef71-7ef9-49d1-aed1-1c6e50e75713,,Tear quality Right Eye,Tear quality Right Eye,Tear quality Right Eye,Question,Coded,,Normal;Reduced;Poor,,
24073bdf-f42e-494a-a95a-c495a51552b9,,Tear quality Left Eye,Tear quality Left Eye,Tear quality Left Eye,Question,Coded,,Normal;Reduced;Poor,,
f4e2bf8e-e476-4e9f-bfef-dde99805bdca,,Papillary reaction,Papillary reaction,Papillary reaction,Misc,N/A,,,,
5e10b2bb-81df-4b0e-abae-b07806336643,,"Conjuctiva, Contact Lens","Conjuctiva, Contact Lens","Conjuctiva, Contact Lens",Question,Coded,,Normal;Hyperaemia;Papillary reaction,,
f34b11f0-348d-442b-8e6d-ae6f03177cb2,,SPK,SPK,SPK,Misc,N/A,,,,
00576a79-49db-45fd-a6fe-5eb1c82d192c,,"Cornea, Contact Lens","Cornea, Contact Lens","Cornea, Contact Lens",Question,Coded,,Clear;SPK;Scar;Edema,,
afb02377-c836-47e0-af15-36d2aeedec8e,,Lid condition,Lid condition,Lid condition,Question,Coded,,Normal;Blepharitis;MGD,,
740ec143-3249-4840-b61e-39db96a06a7c,,Other Ocular Surface Exam,Other Ocular Surface Exam,Other Ocular Surface Exam,Question,Text,,,,
c92a2d1e-a2ec-4db4-9f75-8f9ea090c7c7,,Lens type,Lens type,Lens type,Question,Coded,,Soft spherical;soft toric;RGP;Hybrid;Scleral,,
9f3d9883-42dd-487c-b867-3fe8ac27c306,,Brand,Brand,Brand,Question,Text,,,,
c88189ab-473f-43c0-b453-e199ab5095ad,,Base curve,Base curve,Base curve,Question,Numeric,,,,
51e3baa3-524c-416d-a2f5-6539ac7c6e96,,Diameter,Diameter,Diameter,Question,Numeric,,,,
5fdfcf50-31ae-486b-be2a-1f5fa1152ac9,,Power,Power,Power,Question,Text,,,,
9d958fc3-e3d4-424e-a95a-0036c099181e,,Well centered,Well centered,Well centered,Misc,N/A,,,,
93144536-697e-4d1e-991e-022eff802225,,Decentered,Decentered,Decentered,Misc,N/A,,,,
a98c10ef-3271-47a8-b98a-2169d6b37815,,Excessive,Excessive,Excessive,Misc,N/A,,,,
abec8dc3-4a20-4e34-b07c-9a3b2d0c6d8a,,Minimal,Minimal,Minimal,Misc,N/A,,,,
992ed074-fbbd-4fea-a169-8992a22caaa9,,Partial,Partial,Partial,Misc,N/A,,,,
a2555302-5a53-44d1-a6eb-3434b99f7425,,Tight,Tight,Tight,Misc,N/A,,,,
89374184-4756-4cfe-8ff8-b21e6954b22f,,Loose,Loose,Loose,Misc,N/A,,,,
328b40de-2933-4ec0-bc7a-f36da24ab761,,"Centration, Contact Lens","Centration, Contact Lens","Centration, Contact Lens",Question,Coded,,Well centered;Decentered,,
2508822d-cfe7-4c35-bc37-92a619df4d24,,"Movement, Contact Lens","Movement, Contact Lens","Movement, Contact Lens",Question,Coded,,Adequate;Excessive;Minimal,,
b5f67d2c-6d00-4f45-afdd-af2f170025c0,,"Coverage,Contact Lens","Coverage,Contact Lens","Coverage,Contact Lens",Question,Coded,,Full;Partial,,
99d0305a-d16c-4fbf-8e17-815d12a620d9,,"Push-up test, Contact Lens","Push-up test, Contact Lens","Push-up test, Contact Lens",Question,Coded,,Normal;Tight;Loose,,
be898e2f-42e8-480e-aae4-538ccdcf3e29,,Over-refraction,Over-refraction,Over-refraction,Question,Text,,,,
c2366445-6964-4f0c-b32d-7ddf1140077a,,Final VA,Final VA,Final VA,Question,Text,,,,
d4e5047a-c6d6-4ce0-a28e-b2ee33390f22,,Insertion and removal,Insertion and removal,Insertion and removal,Misc,N/A,,,,
dabf2f09-8cfd-4b7c-aff8-e6cadeaee857,,Cleaning and disinfection,Cleaning and disinfection,Cleaning and disinfection,Misc,N/A,,,,
d86b313a-3407-422d-a683-ebf1737b620d,,Wearing Schedule,Wearing Schedule,Wearing Schedule,Misc,N/A,,,,
19aefe6a-d925-4dc1-a79a-9202a27c7cb0,,Complications warning,Complications warning,Complications warning,Misc,N/A,,,,
67942554-3992-4775-9a20-f830ed4ecd6c,,Hygiene,Hygiene,Hygiene,Misc,N/A,,,,
5cea96d6-1537-4ea1-9781-0ccf4432961c,,"Education given, Contact Lens","Education given, Contact Lens","Education given, Contact Lens",Question,Coded,,Insertion and removal;Cleaning and disinfection;Wearing Schedule;Complications warning;Hygiene,,
8f2f2ef0-27f5-4a7f-85cf-1de5100be73b,,First follow-up,First follow-up,First follow-up,Misc,N/A,,,,
16dd4489-bba9-40dd-8bc7-191d41efc0f5,,Routine,Routine,Routine,Misc,N/A,,,,
3dc69bc4-a078-476c-b153-a0232128ee48,,Complication,Complication,Complication,Misc,N/A,,,,
b8283173-9238-45ee-b0f7-900e6cd5bdd4,,Follow-up type,Follow-up type,Follow-up type,Question,Coded,,First follow-up;Routine;Complication,,
978bd083-4220-4b02-81ca-85d5882fedda,,CLARE,CLARE,CLARE,Misc,N/A,,,,
a2dc7ba7-4d11-4ad0-93f3-cd0e060ab7cd,,"Complication, Contact Lens","Complication, Contact Lens","Complication, Contact Lens",Question,Coded,,None;CLARE;Keratitis;Dryness;Allergy;Corneal Ulcer,,
